Time,BicepsBrachiiR
21.07714,1.76E-05
21.07765,3.16E-05
21.07817,5.02E-05
21.07869,6.03E-05
21.07921,5.29E-05
21.07973,2.90E-05
21.08025,3.36E-07
21.08077,-1.86E-05
21.08129,-2.17E-05
21.08181,-1.28E-05
21.08233,-5.20E-06
21.08285,-4.20E-06
21.08337,-5.20E-06
21.08389,-4.53E-06
21.0844,-3.36E-07
21.08492,1.06E-05
21.08544,2.77E-05
21.08596,4.41E-05
21.08648,5.49E-05
21.087,5.82E-05
21.08752,5.59E-05
21.08804,5.09E-05
21.08856,4.82E-05
21.08908,4.72E-05
21.0896,4.48E-05
21.09012,4.13E-05
21.09064,3.74E-05
21.09115,3.41E-05
21.09167,3.02E-05
21.09219,2.77E-05
21.09271,2.94E-05
21.09323,3.41E-05
21.09375,3.91E-05
21.09427,4.11E-05
21.09479,4.01E-05
21.09531,3.61E-05
21.09583,3.14E-05
21.09635,2.79E-05
21.09686,2.52E-05
21.09739,1.70E-05
21.0979,1.68E-06
21.09842,-1.46E-05
21.09894,-3.00E-05
21.09946,-3.93E-05
21.09998,-3.84E-05
21.1005,-3.19E-05
21.10102,-3.04E-05
21.10154,-3.66E-05
21.10206,-4.11E-05
21.10258,-3.81E-05
21.1031,-3.31E-05
21.10361,-3.04E-05
21.10414,-2.87E-05
21.10465,-2.55E-05
21.10517,-1.98E-05
21.10569,-1.21E-05
21.10621,-5.37E-06
21.10673,-5.04E-07
21.10725,5.54E-06
21.10777,1.33E-05
21.10829,2.03E-05
21.10881,2.37E-05
21.10933,2.47E-05
21.10985,2.48E-05
21.11036,2.48E-05
21.11089,2.23E-05
21.1114,1.51E-05
21.11192,6.55E-06
21.11244,-1.68E-06
21.11296,-6.88E-06
21.11348,-2.85E-06
21.114,1.33E-05
21.11452,2.70E-05
21.11504,3.16E-05
21.11556,3.17E-05
21.11608,3.21E-05
21.1166,3.52E-05
21.11712,3.84E-05
21.11764,3.94E-05
21.11815,4.21E-05
21.11867,5.02E-05
21.11919,6.11E-05
21.11971,6.68E-05
21.12023,6.43E-05
21.12075,5.84E-05
21.12127,5.29E-05
21.12179,4.85E-05
21.12231,4.21E-05
21.12283,3.21E-05
21.12335,2.17E-05
21.12387,1.38E-05
21.12438,1.09E-05
21.1249,9.40E-06
21.12542,6.21E-06
21.12594,4.87E-06
21.12646,9.90E-06
21.12698,2.03E-05
21.1275,3.04E-05
21.12802,3.59E-05
21.12854,3.96E-05
21.12906,4.25E-05
21.12958,4.26E-05
21.1301,4.08E-05
21.13062,3.74E-05
21.13113,3.47E-05
21.13165,3.52E-05
21.13217,3.71E-05
21.13269,3.51E-05
21.13321,2.89E-05
21.13373,2.32E-05
21.13425,2.30E-05
21.13477,2.62E-05
21.13529,2.84E-05
21.13581,3.07E-05
21.13633,3.54E-05
21.13685,3.84E-05
21.13737,3.74E-05
21.13788,3.66E-05
21.1384,4.10E-05
21.13892,4.92E-05
21.13944,5.59E-05
21.13996,5.89E-05
21.14048,6.43E-05
21.141,7.37E-05
21.14152,7.91E-05
21.14204,7.97E-05
21.14256,7.99E-05
21.14308,7.92E-05
21.1436,7.64E-05
21.14412,7.13E-05
21.14463,6.61E-05
21.14515,6.40E-05
21.14567,6.56E-05
21.14619,6.90E-05
21.14671,7.22E-05
21.14723,7.57E-05
21.14775,7.91E-05
21.14827,8.39E-05
21.14879,8.58E-05
21.14931,8.29E-05
21.14983,7.60E-05
21.15035,6.81E-05
21.15087,6.03E-05
21.15138,5.32E-05
21.1519,4.58E-05
21.15242,3.74E-05
21.15294,2.95E-05
21.15346,2.20E-05
21.15398,1.49E-05
21.1545,9.06E-06
21.15502,3.02E-06
21.15554,-1.85E-06
21.15606,-6.55E-06
21.15658,-1.06E-05
21.1571,-1.56E-05
21.15762,-2.27E-05
21.15813,-3.11E-05
21.15865,-3.96E-05
21.15917,-4.88E-05
21.15969,-5.66E-05
21.16021,-5.93E-05
21.16073,-5.66E-05
21.16125,-4.88E-05
21.16177,-3.84E-05
21.16229,-2.99E-05
21.16281,-2.32E-05
21.16333,-1.78E-05
21.16385,-1.48E-05
21.16437,-1.14E-05
21.16488,-1.85E-06
21.1654,1.29E-05
21.16592,2.87E-05
21.16644,4.23E-05
21.16696,5.09E-05
21.16748,5.32E-05
21.168,5.22E-05
21.16852,4.87E-05
21.16904,4.45E-05
21.16956,3.98E-05
21.17008,3.46E-05
21.1706,2.95E-05
21.17112,2.40E-05
21.17163,2.06E-05
21.17215,2.03E-05
21.17267,2.13E-05
21.17319,2.35E-05
21.17371,2.70E-05
21.17423,3.12E-05
21.17475,3.61E-05
21.17527,4.01E-05
21.17579,3.98E-05
21.17631,3.37E-05
21.17683,2.35E-05
21.17735,9.23E-06
21.17787,-6.88E-06
21.17838,-2.10E-05
21.1789,-3.22E-05
21.17942,-4.25E-05
21.17994,-5.27E-05
21.18046,-6.33E-05
21.18098,-7.49E-05
21.1815,-8.68E-05
21.18202,-9.79E-05
21.18254,-0.00010457
21.18306,-0.000108095
21.18358,-0.000110277
21.1841,-0.000111116
21.18462,-0.000111452
21.18513,-0.000109606
21.18565,-0.000106416
21.18617,-0.000103395
21.18669,-0.00010071
21.18721,-9.97E-05
21.18773,-9.92E-05
21.18825,-9.72E-05
21.18877,-9.33E-05
21.18929,-9.10E-05
21.18981,-9.28E-05
21.19033,-9.95E-05
21.19085,-0.000112123
21.19137,-0.000122698
21.19188,-0.000121523
21.1924,-0.000103731
21.19292,-6.87E-05
21.19344,-1.80E-05
21.19396,4.28E-05
21.19448,0.000106249
21.195,0.000162142
21.19552,0.00020058
21.19604,0.000221225
21.19656,0.000226429
21.19708,0.000218036
21.1976,0.000197726
21.19812,0.000166339
21.19864,0.00012874
21.19915,9.15E-05
21.19967,5.89E-05
21.20019,3.27E-05
21.20071,1.93E-05
21.20123,3.04E-05
21.20175,7.45E-05
21.20227,0.000147372
